# Tech vocabulary for embedding-geometry compare (base / A / B / C)
# Used by probes/yes_no/kaggle_embed_tech_vocab_geometry.py
# Format: entity<TAB>bucket

Scrollbar	tech_ui
Tooltip	tech_ui
Dropdown	tech_ui
Checkbox	tech_ui
Keyframe	tech_ui
Viewport	tech_ui
Stylesheet	tech_ui
Hyperlink	tech_ui
Favicon	tech_ui
Breadcrumb	tech_ui
Firewall	tech_net
Router	tech_net
Bandwidth	tech_net
Latency	tech_net
Packet	tech_net
Proxy	tech_net
Hostname	tech_net
Websocket	tech_net
Backbone	tech_net
Subnet	tech_net
Kubernetes	tech_cloud
Container	tech_cloud
Microservice	tech_cloud
Serverless	tech_cloud
Datasource	tech_cloud
Cronjob	tech_cloud
Loadbalancer	tech_cloud
Autoscaling	tech_cloud
Observability	tech_cloud
Telemetry	tech_cloud
Encryption	tech_crypto
Hashing	tech_crypto
Keypair	tech_crypto
Certificate	tech_crypto
Sandboxing	tech_crypto
Zerotrust	tech_crypto
Malware	tech_crypto
Phishing	tech_crypto
Ransomware	tech_crypto
Blockchain	tech_crypto
Wap	tech_dotcom
Ringtone	tech_dotcom
Bannerad	tech_dotcom
Clickthrough	tech_dotcom
Popunder	tech_dotcom
Geocities	tech_dotcom
Homestead	tech_dotcom
Napster	tech_dotcom
Friendster	tech_dotcom
Myspace	tech_dotcom
Refactor	tech_code
Serializer	tech_code
Iterator	tech_code
Memoization	tech_code
Polymorphism	tech_code
Namespace	tech_code
Bytecode	tech_code
Garbagecollect	tech_code
Protobuf	tech_code
Graphql	tech_code
Ticker	pc1_tip_anchor
Parsing	pc1_tip_anchor
Logout	pc1_tip_anchor
Traversal	pc1_tip_anchor
Byeman	pc1_tip_anchor
Canjac	pc1_tip_anchor
Slifter	nonsense_control
Zorblen	nonsense_control
Dodkin	nonsense_control
Mothballs	neutral
Cupcake	neutral
Umbrella	neutral
